Site_ID,z,area_m,volume_m3
JA-SW,0,1,0
JA-SW,0.01,4,0.060439147949225
JA-SW,0.02,11,0.3496386718749953
JA-SW,0.03,20,0.9428649902343977
JA-SW,0.04,26,1.586039581298806
JA-SW,0.05,33,2.508299255371117
JA-SW,0.06,42,3.873944778442329
JA-SW,0.07,48,5.111483917236342
JA-SW,0.08,53,6.368974914550691
JA-SW,0.09,69,9.703410110473623
JA-SW,0.1,78,12.145306396484486
JA-SW,0.11,92,15.93981277465815
JA-SW,0.12,97,18.042620315551854
JA-SW,0.13,109,22.068475646972548
JA-SW,0.14,119,25.90288177490241
JA-SW,0.15,130,30.35814476013165
JA-SW,0.16,151,38.285074386596705
JA-SW,0.17,165,44.49459724426298
JA-SW,0.18,176,50.04498832702632
JA-SW,0.19,198,60.06090270996119
JA-SW,0.2,214,68.36292152404769
JA-SW,0.21,236,79.63808876037618
JA-SW,0.22,256,90.69296867370576
JA-SW,0.23,286,106.89279678344738
JA-SW,0.24,310,121.16918220519972
JA-SW,0.25,347,142.6011199951172
JA-SW,0.26,388,167.1865528869635
JA-SW,0.27,430,193.54267463684064
JA-SW,0.28,475,222.824211120606
JA-SW,0.29,512,248.87540863037066
JA-SW,0.3,542,271.8110252380375
JA-SW,0.31,559,287.6831083679192
JA-SW,0.32,583,308.5223222351076
JA-SW,0.33,610,332.0339248657216
JA-SW,0.34,652,366.45090644836415
JA-SW,0.35000000000000003,675,388.9623050689707
JA-SW,0.36,690,406.44802703857385
JA-SW,0.37,704,423.6312145996101
JA-SW,0.38,707,432.93105140685964
JA-SW,0.39,711,443.0994692230229
JA-SW,0.4,715,453.38697242736714
JA-SW,0.41000000000000003,715,460.53697242736826
JA-SW,0.42,715,467.68697242736937
JA-SW,0.43,715,474.836972427368
JA-SW,0.44,715,481.9869724273691
JA-SW,0.45,715,489.13697242736765
JA-SW,0.46,715,496.28697242736877
JA-SW,0.47000000000000003,715,503.4369724273673
JA-SW,0.48,715,510.5869724273685
JA-SW,0.49,715,517.736972427367
JA-SW,0.5,715,524.8869724273682
JA-SW,0.51,715,532.0369724273693
JA-SW,0.52,715,539.1869724273679
JA-SW,0.53,715,546.336972427369
JA-SW,0.54,715,553.4869724273675
JA-SW,0.55,715,560.6369724273686
JA-SW,0.56,715,567.7869724273672
JA-SW,0.5700000000000001,715,574.9369724273683
JA-SW,0.58,715,582.086972427367
JA-SW,0.59,715,589.2369724273681
JA-SW,0.6,715,596.3869724273692
JA-SW,0.61,715,603.5369724273678
JA-SW,0.62,715,610.6869724273689
JA-SW,0.63,715,617.8369724273674
JA-SW,0.64,715,624.9869724273685
JA-SW,0.65,715,632.1369724273671
JA-SW,0.66,715,639.2869724273683
JA-SW,0.67,715,646.4369724273694
JA-SW,0.68,715,653.586972427368
JA-SW,0.6900000000000001,715,660.7369724273691
JA-SW,0.7000000000000001,715,667.8869724273677
JA-SW,0.71,715,675.0369724273688
JA-SW,0.72,715,682.1869724273673
JA-SW,0.73,715,689.3369724273684
JA-SW,0.74,715,696.486972427367
JA-SW,0.75,715,703.6369724273682
JA-SW,0.76,715,710.7869724273693
JA-SW,0.77,715,717.9369724273679
JA-SW,0.78,715,725.086972427369
JA-SW,0.79,715,732.2369724273675
JA-SW,0.8,715,739.3869724273686
JA-SW,0.81,715,746.5369724273672
JA-SW,0.8200000000000001,715,753.6869724273683
JA-SW,0.8300000000000001,715,760.836972427367
JA-SW,0.84,715,767.9869724273681
JA-SW,0.85,715,775.1369724273692
JA-SW,0.86,715,782.2869724273678
JA-SW,0.87,715,789.4369724273689
JA-SW,0.88,715,796.5869724273674
JA-SW,0.89,715,803.7369724273685
JA-SW,0.9,715,810.8869724273671
JA-SW,0.91,715,818.0369724273683
JA-SW,0.92,715,825.1869724273694
JA-SW,0.93,715,832.336972427368
JA-SW,0.9400000000000001,715,839.4869724273691
JA-SW,0.9500000000000001,715,846.6369724273677
JA-SW,0.96,715,853.7869724273688
JA-SW,0.97,715,860.9369724273673
JA-SW,0.98,715,868.0869724273684
JA-SW,0.99,715,875.236972427367
JA-SW,1,715,882.3869724273682
JA-SW,1.01,715,889.5369724273693
JA-SW,1.02,715,896.6869724273679
JA-SW,1.03,715,903.836972427369
JA-SW,1.04,715,910.9869724273675
JA-SW,1.05,715,918.1369724273686
JA-SW,1.06,715,925.2869724273672
JA-SW,1.07,715,932.4369724273683
JA-SW,1.08,715,939.586972427367
JA-SW,1.09,715,946.7369724273681
JA-SW,1.1,715,953.8869724273692
JA-SW,1.11,715,961.0369724273678
JA-SW,1.12,715,968.1869724273689
JA-SW,1.1300000000000001,715,975.3369724273674
JA-SW,1.1400000000000001,715,982.4869724273685
JA-SW,1.1500000000000001,715,989.6369724273671
JA-SW,1.16,715,996.7869724273683
JA-SW,1.17,715,1003.9369724273694
JA-SW,1.18,715,1011.086972427368
JA-SW,1.19,715,1018.2369724273691
JA-SW,1.2,715,1025.3869724273677
JA-SW,1.21,715,1032.5369724273687
JA-SW,1.22,715,1039.6869724273674
JA-SW,1.23,715,1046.8369724273684
JA-SW,1.24,715,1053.986972427367
JA-SW,1.25,715,1061.1369724273682
JA-SW,1.26,715,1068.2869724273694
JA-SW,1.27,715,1075.436972427368
JA-SW,1.28,715,1082.586972427369
JA-SW,1.29,715,1089.7369724273676
JA-SW,1.3,715,1096.8869724273686
JA-SW,1.31,715,1104.0369724273673
JA-SW,1.32,715,1111.1869724273683
JA-SW,1.33,715,1118.3369724273668
JA-SW,1.34,715,1125.486972427368
JA-SW,1.35,715,1132.636972427369
JA-SW,1.36,715,1139.7869724273678
JA-SW,1.37,715,1146.9369724273688
JA-SW,1.3800000000000001,715,1154.0869724273675
JA-SW,1.3900000000000001,715,1161.2369724273685
JA-SW,1.4000000000000001,715,1168.3869724273673
JA-SW,1.41,715,1175.5369724273683
JA-SW,1.42,715,1182.6869724273695
JA-SW,1.43,715,1189.836972427368
