Site_ID,z,area_m,volume_m3
JA-SW,0,1,0
JA-SW,0.01,4,0.060439147949225
JA-SW,0.02,11,0.3496386718749953
JA-SW,0.03,20,0.9428649902343977
JA-SW,0.04,26,1.586039581298806
JA-SW,0.05,33,2.508299255371117
JA-SW,0.06,42,3.873944778442329
JA-SW,0.07,48,5.111483917236342
JA-SW,0.08,53,6.368974914550691
JA-SW,0.09,69,9.703410110473623
JA-SW,0.1,78,12.145306396484486
JA-SW,0.11,92,15.93981277465815
JA-SW,0.12,97,18.042620315551854
JA-SW,0.13,109,22.068475646972548
JA-SW,0.14,119,25.90288177490241
JA-SW,0.15,130,30.35814476013165
JA-SW,0.16,151,38.285074386596705
JA-SW,0.17,165,44.49459724426298
JA-SW,0.18,176,50.04498832702632
JA-SW,0.19,198,60.06090270996119
JA-SW,0.2,214,68.36292152404769
JA-SW,0.21,236,79.63808876037618
JA-SW,0.22,256,90.69296867370576
JA-SW,0.23,286,106.89279678344738
JA-SW,0.24,310,121.16918220519972
JA-SW,0.25,348,143.09571075439453
JA-SW,0.26,389,167.69114364624085
JA-SW,0.27,432,194.58944000244122
JA-SW,0.28,481,226.1178395080572
JA-SW,0.29,522,254.5372704315181
JA-SW,0.3,552,277.5751110076908
JA-SW,0.31,575,297.25097656249926
JA-SW,0.32,608,323.9487825012209
JA-SW,0.33,631,345.08274314880265
JA-SW,0.34,676,381.7258451843261
JA-SW,0.35000000000000003,708,410.7314670562754
JA-SW,0.36,725,429.9746456146236
JA-SW,0.37,743,450.43841186523514
JA-SW,0.38,747,460.89174972534107
JA-SW,0.39,751,471.4517485046391
JA-SW,0.4,754,481.3398471832265
JA-SW,0.41000000000000003,754,488.87984718322764
JA-SW,0.42,754,496.41984718322885
JA-SW,0.43,754,503.95984718322734
JA-SW,0.44,754,511.4998471832285
JA-SW,0.45,754,519.039847183227
JA-SW,0.46,754,526.5798471832281
JA-SW,0.47000000000000003,754,534.1198471832267
JA-SW,0.48,754,541.6598471832278
JA-SW,0.49,754,549.1998471832263
JA-SW,0.5,754,556.7398471832275
JA-SW,0.51,754,564.2798471832288
JA-SW,0.52,754,571.8198471832272
JA-SW,0.53,754,579.3598471832283
JA-SW,0.54,754,586.8998471832269
JA-SW,0.55,754,594.439847183228
JA-SW,0.56,754,601.9798471832265
JA-SW,0.5700000000000001,754,609.5198471832277
JA-SW,0.58,754,617.0598471832262
JA-SW,0.59,754,624.5998471832274
JA-SW,0.6,754,632.1398471832287
JA-SW,0.61,754,639.6798471832271
JA-SW,0.62,754,647.2198471832282
JA-SW,0.63,754,654.7598471832268
JA-SW,0.64,754,662.2998471832279
JA-SW,0.65,754,669.8398471832264
JA-SW,0.66,754,677.3798471832276
JA-SW,0.67,754,684.9198471832289
JA-SW,0.68,754,692.4598471832273
JA-SW,0.6900000000000001,754,699.9998471832286
JA-SW,0.7000000000000001,754,707.539847183227
JA-SW,0.71,754,715.0798471832281
JA-SW,0.72,754,722.6198471832267
JA-SW,0.73,754,730.1598471832278
JA-SW,0.74,754,737.6998471832263
JA-SW,0.75,754,745.2398471832275
JA-SW,0.76,754,752.7798471832288
JA-SW,0.77,754,760.3198471832272
JA-SW,0.78,754,767.8598471832283
JA-SW,0.79,754,775.3998471832269
JA-SW,0.8,754,782.939847183228
JA-SW,0.81,754,790.4798471832265
JA-SW,0.8200000000000001,754,798.0198471832277
JA-SW,0.8300000000000001,754,805.5598471832262
JA-SW,0.84,754,813.0998471832274
JA-SW,0.85,754,820.6398471832287
JA-SW,0.86,754,828.1798471832271
JA-SW,0.87,754,835.7198471832282
JA-SW,0.88,754,843.2598471832268
JA-SW,0.89,754,850.7998471832279
JA-SW,0.9,754,858.3398471832264
JA-SW,0.91,754,865.8798471832276
JA-SW,0.92,754,873.4198471832289
JA-SW,0.93,754,880.9598471832273
JA-SW,0.9400000000000001,754,888.4998471832286
JA-SW,0.9500000000000001,754,896.039847183227
JA-SW,0.96,754,903.5798471832281
JA-SW,0.97,754,911.1198471832267
JA-SW,0.98,754,918.6598471832278
JA-SW,0.99,754,926.1998471832263
JA-SW,1,754,933.7398471832275
JA-SW,1.01,754,941.2798471832288
JA-SW,1.02,754,948.8198471832272
JA-SW,1.03,754,956.3598471832283
JA-SW,1.04,754,963.8998471832269
JA-SW,1.05,754,971.439847183228
JA-SW,1.06,754,978.9798471832265
JA-SW,1.07,754,986.5198471832277
JA-SW,1.08,754,994.0598471832262
JA-SW,1.09,754,1001.5998471832274
JA-SW,1.1,754,1009.1398471832287
JA-SW,1.11,754,1016.6798471832271
JA-SW,1.12,754,1024.2198471832282
JA-SW,1.1300000000000001,754,1031.7598471832268
JA-SW,1.1400000000000001,754,1039.299847183228
JA-SW,1.1500000000000001,754,1046.8398471832265
JA-SW,1.16,754,1054.3798471832276
JA-SW,1.17,754,1061.9198471832287
JA-SW,1.18,754,1069.4598471832273
JA-SW,1.19,754,1076.9998471832284
JA-SW,1.2,754,1084.539847183227
JA-SW,1.21,754,1092.0798471832281
JA-SW,1.22,754,1099.6198471832267
JA-SW,1.23,754,1107.1598471832278
JA-SW,1.24,754,1114.6998471832264
JA-SW,1.25,754,1122.2398471832275
JC-SW,0,1,0
JC-SW,0.01,3,0.03816345214844219
JC-SW,0.02,6,0.17413818359374744
JC-SW,0.03,12,0.5642465209961074
JC-SW,0.04,26,1.7323389434814231
JC-SW,0.05,65,5.710666656494187
JC-SW,0.06,150,16.187673568725394
JC-SW,0.07,277,34.86657585144051
JC-SW,0.08,422,60.11399627685475
JC-SW,0.09,581,92.11596397399894
JC-SW,0.1,727,126.38806076049909
JC-SW,0.11,854,160.97987884521436
JC-SW,0.12,954,192.97477958679295
JC-SW,0.13,1030,221.8679546356191
JC-SW,0.14,1091,248.89688514709536
JC-SW,0.15,1133,272.1707717895492
JC-SW,0.16,1171,295.4973291015627
JC-SW,0.17,1198,316.2505456542989
JC-SW,0.18,1239,342.8161997985836
